"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"939",2020-04-23,"Greece",7,2408,13540.5259447071,8465.20006968708,20582.118176487,13.9863794798363,3.68137212224333,35.9157788891212,0,121,134.444312525796,99.5207361057235,177.832000468912,2.40457080494509,1.7438211277537,3.20604050672942,0.414643221439974,0.306909576856735,0.540381420603672
"940",2020-04-24,"Greece",55,2463,13553.1663402461,8468.41233445142,20615.3726607624,12.6403955390346,3.21226476433861,33.254484275459,4,125,136.669064850796,101.115958064135,180.838454359356,2.22475232499968,1.5952219584111,3.00645389044325,0.414642619365087,0.306909486148496,0.540378962108147
"941",2020-04-25,"Greece",27,2490,13564.5929432187,8471.22219216837,20646.0678882885,11.4266029725353,2.80985771694799,30.6952275260774,5,130,138.724010118831,102.572012666238,183.645235178323,2.05494526803567,1.45605460210334,2.80678081896785,0.414642074065445,0.306909407235327,0.540376691516436
"942",2020-04-26,"Greece",16,2506,13574.9247172022,8473.68041611323,20674.5117026961,10.3317739835408,2.45822394486878,28.4438144075942,0,130,140.617451353998,103.893197316298,186.264923955802,1.89344123516694,1.32118465005981,2.61968877747837,0.414641580071234,0.306909338583481,0.540374594467593
"943",2020-04-27,"Greece",0,2506,13584.2687447489,8475.82459216198,20700.7113669969,9.3440275466882,2.14417604874346,26.1996643007647,0,130,142.358793074738,105.089113760764,188.703936894357,1.7413417207399,1.19591644446604,2.43901293855477,0.414641132450062,0.306909278858647,0.540372657698148
"944",2020-04-28,"Greece",28,2534,13592.7214348063,8477.68215403617,20724.9771313272,8.45269005737839,1.85756187418548,24.2657643302902,6,136,143.957874989983,106.169715037668,190.970233138994,1.59908191524495,1.08060127690415,2.26629624463792,0.414640726753192,0.30690922690002,0.540370868958247
"945",2020-04-29,"Greece",0,2534,13600.3696054255,8479.30685464284,20747.3539300852,7.6481706192106,1.62470060668023,22.3767987580719,0,136,145.423490022666,107.146510427029,193.07925940811,1.46561503268256,0.976795389360655,2.10902626911567,0.414640358967245,0.306909181697734,0.540369216934204
"946",2020-04-30,"Greece",42,2576,13607.2914548353,8480.72237413597,20768.0218836437,6.92184940976271,1.4155194931254,20.6679535584568,3,139,146.765284625093,108.025513505237,195.042167381548,1.34179460242763,0.879003078208109,1.96290797343811,0.414640025470803,0.306909142373243,0.540367691176964
"947",2020-05-01,"Greece",15,2591,13613.5574325689,8481.96049681588,20787.060430744,6.26597773359021,1.23812267991417,19.0385471002993,1,140,147.990998707099,108.813435716126,196.862124707047,1.22571408200555,0.787922210889634,1.81995732549841,0.414639722995421,0.306909108162238,0.540366282036037
"948",2020-05-02,"Greece",0,2591,13619.2310210902,8483.04093071057,20804.5827695802,5.67358852130055,1.08043389468908,17.5223388361665,0,140,149.111001413805,109.520329014516,198.555561396411,1.12000270670661,0.706893298389782,1.69343668936413,0.414639448590576,0.306909078399797,0.54036498059847
